TARGET_INFO_DAMAGE	Atac: %s - %s
SKILL_GWIGEOM	Lamã fermecatã
SKILL_GYEONGGONG	Uºurare
SKILL_HEUKSIN	Protecþie întunecatã
SKILL_HOSIN	Binecuvântare
SKILL_HWAYEOM	SKILL_HWAYEOM Nu mai este folosit
SKILL_HYEOLMA	SKILL_HYEOLMA Nu mai este folosit
SKILL_INC_ATKSPD	Viteza de atac a crescut
SKILL_INC_MOVSPD	Viteza de miºcare a crescut
SKILL_INMA	SKILL_INMA Nu mai este folosit
SKILL_JEOJU	Blestem
SKILL_JEONGEOP	Vindecare
SKILL_JEONGWI	Beþia de luptã
SKILL_JEONSINBANGEO	Apãrare deplinã
SKILL_JEONSINGONGGYEOK	Atac deplin
SKILL_JEUNGCHE	SKILL_JEUNGCHE Nu mai este folosit
SKILL_JEUNGHON	SKILL_JEUNGHON Nu mai este folosit
SKILL_JEUNGRYEOK	Atac +
SKILL_JEUNGSOK	Vitezã +
SKILL_JIGAM	SKILL_JIGAM Nu mai este folosit
SKILL_JIPJUNG	SKILL_JIPJUNG Nu mai este folosit
SKILL_JUMAGAP	Armurã fermecatã
SKILL_JUMAGEOM	SKILL_JUMAGEOM Nu mai este folosit
SKILL_KWAEGEOM	SKILL_KWAEGEOM Nu mai este folosit
SKILL_KWAESOK	Repeziciune
SKILL_LEGBOUND	SKILL_LEGBOUND Nu mai este folosit
SKILL_MUSA	SKILL_MUSA Nu mai este folosit
SKILL_MUYEONG	Spiritul focului
SKILL_NEED_EMPTY_BOTTLE	Nu am nici o sticlã goalã.
SKILL_NEED_POISON_BOTTLE	Nu am nici o sticlã de otravã.
SKILL_ONLY_FOR_GUILD_WAR	Poþi folosi aceastã calificare doar într-un rãzboi de bresle.
SKILL_PABEOP	Alungã vraja.
SKILL_POWERFUL_STRIKE	Atac anestezie
SKILL_SEOMGWANG	Bombã fulger
SKILL_SINCHAK	SKILL_SINCHAK Nu mai este folosit
SKILL_SLEEP	Somn
SKILL_SLOW	Încet
SKILL_STUN	Anestezia
SKILL_SUHO	Paznic
SKILL_SUMMON_DESCRIPTION	ªansa incantaþiei: %d%%
SKILL_TOOLTIP_INT	Inteligenþã
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Otrãvire
SKILL_TOXICPOWER	Atac otrãvitor îmbunãtãþit
SKILL_TUSOK	Loviturã de stafie
SKILL_WONSIN	SKILL_WONSIN Nu mai este folosit
SKILL_YONGSIN	SKILL_YONGSIN Nu mai este folosit
STAT_MINUS_CON	Adaptarea Vitalitãþii (ªansa rãmasã: %d)
STAT_MINUS_DEX	Adaptarea Dexteritãþii (ªansa rãmasã: %d)
STAT_MINUS_INT	Adaptarea inteligenþei (ªansa rãmasã: %d)
STAT_MINUS_STR	Ajustarea Puterii (ªansã rãmasã: %d)
STAT_TOOLTIP_CON	Creºte PV ºi apãrarea
STAT_TOOLTIP_DEX	Creºte atacul ºi evadarea
STAT_TOOLTIP_INT	Creºte PM, atacul magic ºi apãrarea
STAT_TOOLTIP_STR	Creºte valoarea atacului ºi daunele
SYMBOLLIST_TITLE	Anunþã steagul breslei
SYSTEM_OPTION_CPU_TILING_1	Modul CPU-Tiling poate îmbunãtãþi vinteza unui computer mai slab.
SYSTEM_OPTION_CPU_TILING_2	Dacã apar probleme cu grafica, alege ,System Option‘ sau ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ºi treci astfel în modul GPU-Tiling
SYSTEM_OPTION_GPU_TILING_1	Modul GPU-Tiling poate rula mai încet pe un computer mai slab
SYSTEM_OPTION_GPU_TILING_2	Dacã sunt probleme cu grafica, "System Options" sau "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	ºi treci astfel în modul GPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Pentru trecerea în modul Placare, jocul trebuie re-pornit.
TARGET_BUTTON_ACCEPT_FIGHT	Aprobã
TARGET_BUTTON_AVENGE	Rãzbunare
TARGET_BUTTON_BUILDING_DESTROY	Distruge
TARGET_BUTTON_DISMOUNT	Descalecã
TARGET_BUTTON_EMOTION_ALLOW	Emoþii
TARGET_BUTTON_EXCHANGE	Negociazã
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	Închide modul spectator
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Prieten
TARGET_BUTTON_INVITE_GUILD	Invitaþia breslei
TARGET_BUTTON_INVITE_PARTY	Invitaþia grupei
TARGET_BUTTON_LEAVE_PARTY	Pãrãseºte grupa
TARGET_BUTTON_REQUEST_ENTER_PARTY	Alãturã-te grupei
TARGET_BUTTON_VIEW_EQUIPMENT	Armament
TARGET_BUTTON_WHISPER	ªoaptã
TARGET_LEVEL_BOSS	ªef
TARGET_LEVEL_KING	Categoria 5.
TARGET_LEVEL_KNIGHT	Categoria 3.
TARGET_LEVEL_PAWN	Categoria 1
TARGET_LEVEL_S_KNIGHT	Categoria 4
TARGET_LEVEL_S_PAWN	Categoria 2
TASKBAR_ATTACK	Atacã
TASKBAR_AUTO	Atacã automat
TASKBAR_CAMERA	Camerã
TASKBAR_EXP	Experienþã
TASKBAR_HP	PV
TASKBAR_MOVE	Miºca
TASKBAR_SKILL	Calificare
TASKBAR_SP	PM
TASKBAR_ST	AP
THING_COUNT	toate
TOOLTIP_ANTI_CRITICAL_PCT	Rezistenta la lovitura critica +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Rezistenta la lovitura patrunzatoare +%d%%	SA
TOOLTIP_ANTI_SELL	Nu poate fi vândut în magazin.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Tare împotriva animalelor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Tare împotriva ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Tare împotriva diavolului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Tare împotriva semi-oamenilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Tare împotriva esotericilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Tare împotriva monºtrilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Tare împotriva orcilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Tare împotriva ºamanilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Tare împotriva sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Puternic împotriva vampirilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Tare împotriva rãzboinicilor +%d%%	SA
TOOLTIP_APPLY_BLOCK	ªansa de a bloca un atac corporal +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Reface în luptã PM la interval de 5 sec. %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	ªansa de loviturã criticã +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	ªansã %d%% de a primi înapoi PM la lovituri reuºite	SA
TOOLTIP_APPLY_DODGE	ªansã %d%% de a evita atacul cu sãgeþi	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	ªansã %d%% la bonus-EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	ªansã %d%% de a arunca de douã ori mai mult Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Imun la cãzãturã	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Aparare impotriva incetinirii	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Aparare impotriva necunostintei	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	ªansã %d%% de a arunca de 2 ori mai multe obiecte	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	ªansã %d%% de a reface PV	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	ªansã %d%% de a reface PM	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% ºansã de a jefui SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Fãrã efect
TOOLTIP_APPLY_NO_DEATH_PENALTY	N vei perde puncte de exprienþã dacã caracterul tãu va fi re-adus la viaþã în locul morþii sle.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	ªansã %d%% la lovituri pãtrunzãtoare	SA
TOOLTIP_APPLY_POISON_PCT	ªansã de otrãvire %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Rezistenþa la otravã %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	%d%% creºtere efect al licorii	SA
TOOLTIP_APPLY_REFLECT_CURSE	ªansa %d%% de a reflecta un blestem	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% ºansã de a reflecta loviturile atacului corporal	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	ªansa de apãrare împotriva atacului ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Apãrare clopot %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Apãrare pumnal %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Apãrare evantai %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	ªansa de apãrare împotriva atacului ºamanilor %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	ªansa de apãrare împotriva atacului sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Apãrare cu sabia %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Apãrare cu douã mâini %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Sansa de aparare impotriva atacului razboinicilor: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rezistenþa vântului %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	ªansa de a învãþa din cãrþi de 2,5 ori mai bunã.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Dacã învãþatul nu reuºeºte, ai încã o încercare gratuitã.	SNA
TOOLTIP_APPLY_SLOW_PCT	ªansã de încetinire %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% daune vor fi absorbite de PV.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% daune vor fi absorbite de PM.	SA
TOOLTIP_APPLY_STUN_PCT	ªansa de blocare %d%%	SA
TOOLTIP_ARMOR	Armurã
TOOLTIP_ARROW	Sãgeatã
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valoarea atacului +%d	SA
TOOLTIP_ATT_SPEED	Viteza de atac +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Elixirul Soarelui
TOOLTIP_AUTO_POTION_REST	A mai ramas: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixirul Lunii
TOOLTIP_AUTO_POTION_USING	Activ
TOOLTIP_BOW_DISTANCE	Autonomia arcului +%dm	SA
TOOLTIP_BUYPRICE	Preþ: %s
TOOLTIP_CAST_SPEED	Viteza farmecului +%d%%	SA
TOOLTIP_CON	Vitalitate +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costum %d%%	SA
TOOLTIP_DEF_GRADE	Apãrare +%d	SA
TOOLTIP_DEX	Dexteritate +%d	SA
TOOLTIP_EAR	Cercel
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	etc.
TOOLTIP_FISHINGROD_EXP	Puncte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dã-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undiþã
TOOLTIP_FISH_LEN	Lungime: %.2f cm
TOOLTIP_HELMET	Coif
TOOLTIP_HP_REGEN	Regenerarea PV +%d%%	SA
TOOLTIP_INT	Inteligenþã +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Viteza de atac %s
TOOLTIP_ITEM_DEF_GRADE	Apãrare %d
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_LIMIT_CON	Limita superioarã a vitalitãþii %d
TOOLTIP_ITEM_LIMIT_DEX	Limita Superioarã a Dexteritãþii: %d
TOOLTIP_ITEM_LIMIT_INT	Limita superioarã a inteligenþei: %d
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: %d
TOOLTIP_ITEM_LIMIT_STR	Limita superioarã a Puterii: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apãrare magicã %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Încet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte încet
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numãr norocos: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Atac magic +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Apãrare magicã +%d	SA
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea atacului +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Yang este însuºit automat.	SNA
TOOLTIP_MALL_DEFBONUS	Apãrare +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Apãrare +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP	SNA
TOOLTIP_MALL_FISH_MIND	ªansa de a prinde un peºte este mai mare.	SNA
TOOLTIP_MALL_GOLDBONUS	ªansã de drop Yang (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	ªansã dublã de drop Yang	SNA
TOOLTIP_MALL_ITEMBONUS	ªansã de drop obiecte (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	ªansa iCafe de a captura obiecte plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	ªansã dublã drop obiecte	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.	SNA
TOOLTIP_MALL_SAFEBOX	Mai mult spaþiu de depozitare stã la dispoziþie.	SNA
TOOLTIP_MAX_HP	Max. PV +%d	SA
TOOLTIP_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_MAX_SP	Max. PM +%d	SA
TOOLTIP_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_MAX_STAMINA	Rezistenþã max. +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS(%d, %d)
TOOLTIP_MOV_SPEED	Viteza de miºcare %d%%	SA
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: %d
TOOLTIP_NEED_HP	PV necesare: %d
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: %d
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul urmãtor: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul urmãtor: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistenþa medie la pagubã %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste %d membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Categoria de aparare +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie sã aºtepþi 3 minute dupã moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poþi striga încoace oricând membri ai grupei de pe acelaºi server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) %d atacatorii pot fi alesi.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de aparare +(Numãrul Membri grupei) luptãtorii cu sabia 1 pot fi aleºi.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apãrare îmbunãtãþit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de %d membri ai grupei oferã %d%% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigã încoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabileºte atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabileºte luptãtor cu sabia]
TOOLTIP_PICK_EXP	Puncte: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dã-o tãietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Târnãcop
TOOLTIP_POTION_CURE	Anuleazã efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteza de atac +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteza de miºcare +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie sã fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie sã fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie sã fi atins nivelul %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s nivelul %d necesar
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesar
TOOLTIP_RESIST_BOW	Rezistenþa la sãgeþi %d%%	SA
TOOLTIP_RESIST_DARK	Rezistenta la intunecare +%d%%	SA
TOOLTIP_RESIST_EARTH	Rezistenta pamant +%d%%	SA
TOOLTIP_RESIST_ELEC	Rezistenþa la fulger %d%%	SA
TOOLTIP_RESIST_FIRE	Rezistenþa la foc %d%%	SA
TOOLTIP_RESIST_ICE	Rezistenta gheata +%d%%	SA
TOOLTIP_RESIST_MAGIC	Rezistenþa la magie %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Rãmas: %d
TOOLTIP_SELLPRICE	Preþ: %s
TOOLTIP_SHAMAN	ªaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Competenta	SNA
TOOLTIP_SKILLBOOK_NAME	Cartea competenþei
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteza de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Apãrare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reînnoieºte PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteza de miºcare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	ªansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistenþã la pagubã corporalã:
TOOLTIP_SKILL_COOL_TIME	Re-încãrcare: 
TOOLTIP_SKILL_DAMAGE_BONUS	Paguba competenþei %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Rezistenþã la paguba competenþei %d%%	SA
TOOLTIP_SKILL_DURATION	Durata: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Banderola uitãrii
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Maestru)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Gol
TOOLTIP_SOCKET_REFINABLE_ITEM	[Obiect cu suport]
TOOLTIP_SP_REGEN	Regenerare PM +%d%%	SA
TOOLTIP_STR	Putere +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Timp de incarcare %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Timp de incarcare %d%%	SA
TOOLTIP_UNIQUE	Unic
TOOLTIP_WARRIOR	Rãzboinic
TOOLTIP_WEAPON	Armã
TOOLTIP_WRISTLET	Brãþarã
UI_ACCEPT	Acceptã
UI_CANCEL	Întrerupere
UI_CLOSE	Închide
UI_DEF_FONT	Verdana:13
UI_DEF_FONT_LARGE	Verdana:14	
UI_DEF_FONT_SMALL	Verdana:9
UI_DENY	Refuzã
UI_ITEM	Obiect
UI_LEFT_TIME	Timp rãmas: %d sec.
UI_NEXT	Continuã
UI_NEXTPAGE	Urmatorul
UI_NOCONTENTS	Niciun conþinut
UI_NONAME	Niciun nume
UI_OK	OK
UI_POS_UNKNOWN	Localitate necunoscutã
UI_PREVPAGE	inapoi
UI_UNKNOWN	Necunoscut
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload-ul trebuie pornit încã odatã
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload-ul terbuie pornit încã odatã
USE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi folosi obiectul dacã ai deschis un magazin.
USE_SKILL_ERROR_UNKNOWN	Greºealã de competenþã necunoscutã: %s
